OBJ_Critical= 0.37                                                                
fOBJ  LF0 r0  fINP  VP  PAR1  KP1 PAR2  PAR3  Qmax  Kba Kdes  rE  pEP fpEM  fD  gD  Vg  alpha KD  Yg  Ygsl  Q10 gamma beta  WPA2D tau wdorm VNup_MB KsNH4_MB  KsNO3_MB  Vnit  Vdenit  PAR4
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.0001079 0.01079507  1.13002743  0.89422239  0.43766357  0.01759565  0.01026689  0.00010006  0.3979633 0.00217844  1.70361882  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.0001086 0.01128029  1.38712846  0.89582756  0.52079106  0.01736684  0.01029532  0.00010006  0.39371433  0.00161596  1.70136897  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010892  0.01092123  1.20084661  0.89534289  0.53946386  0.01741245  0.01006893  0.00010006  0.39148013  0.00253585  1.70291669  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010511  0.01445145  1.89707562  0.88265913  0.19481054  0.01533042  0.01000473  0.00010006  0.33396579  0.00146946  1.70017847  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010931  0.01461824  1.88276746  0.89025298  0.20279103  0.01513823  0.01002653  0.00010006  0.32989824  0.0015996 1.70094095  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010714  0.01467598  1.88232849  0.8851758 0.20119533  0.01514547  0.01002056  0.00010006  0.32985294  0.00133227  1.70152574  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010735  0.01445145  1.90985816  0.88265913  0.19869433  0.01533042  0.01002995  0.00010006  0.33437058  0.00146946  1.70017847  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010861  0.01445145  1.91665484  0.88265913  0.2005486 0.01533042  0.01003101  0.00010006  0.33447899  0.00146946  1.70017847  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010647  0.01445145  1.9069957 0.88265913  0.19556701  0.01533042  0.01001044  0.00010006  0.33447548  0.00146946  1.70017847  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
0.29  0.9 0.01  0.4 75  2 100 6 492 2.5 6 0.006 0.00010793  0.01445145  1.92831006  0.88265913  0.20016365  0.01533042  0.01002969  0.00010006  0.33495541  0.00146946  1.70047954  0.1 0.001 0.4 0.25  4 0.04999182  0.0001  0.0001  0.02651949  0.02614681  1
